Age,total_rooms,total_bedrooms,households,median_income,Value
3,2376,559,519,3.1484,500001
3,1613,428,422,3.4722,500001
3,1279,287,291,3.1429,500001
3,5022,1750,1661,2.4234,500001
3,4190,1105,1037,3.0897,500001
3,2515,399,373,5.8596,500001
3,3175,454,485,5.2868,500001
3,2576,406,376,5.956,500001
3,334,54,47,4.9643,500001
3,2800,411,403,6.3434,500001
3,3529,574,555,5.1773,500001
4,2612,365,367,7.2354,500001
4,5287,1048,956,5.457,500001
4,2935,473,479,7.5,500001
4,3424,597,597,6.0194,500001
4,4991,674,654,7.5544,500001
4,2211,346,343,6.0666,500001
4,3038,490,496,7.0548,500001
4,1617,210,194,11.6017,500001
4,2865,460,443,7.4882,500001
4,5065,788,766,6.8976,500001
4,1326,184,190,8.2049,500001
4,1589,223,211,8.401,500001
4,1791,271,269,6.8538,500001
4,1835,264,263,8.317,500001
4,1229,181,176,7.0175,500001
4,3770,534,500,6.3302,500001
4,292,38,52,6.3624,500001
4,2375,333,350,7.0549,500001
4,2964,436,426,6.7851,500001
4,2833,605,552,2.8929,500001
4,2254,535,487,3.0812,500001
4,1389,212,224,5.2402,500001
4,1971,335,308,6.5217,500001
4,2183,465,460,3.2632,500001
4,2286,464,441,3.0298,500001
4,2721,541,515,4.5428,500001
4,2024,339,340,4.072,500001
4,2944,536,521,5.3509,500001
4,2033,486,459,3.1603,500001
4,1433,229,213,4.7708,500001
4,2927,402,380,8.1564,500001
4,2315,292,258,8.8793,500001
4,2485,313,327,6.8591,500001
4,1490,238,256,6.0302,500001
4,2814,365,352,7.508,500001
4,2093,550,483,2.7477,500001
4,888,168,175,2.1944,500001
4,2087,510,488,3.0149,500001
4,2513,502,518,3.675,500001
4,3232,835,747,3.225,500001
4,4120,1065,1015,2.9345,500001
4,2364,792,722,2.1429,500001
4,1471,469,413,1.6121,500001
4,2468,864,773,1.3929,500001
4,1632,492,429,2.3173,500001
4,1786,526,460,1.7772,500001
4,629,188,196,2.6458,500001
4,1339,391,363,2.181,500001
4,1678,606,543,2.2303,500001
4,2344,647,644,1.6504,500001
4,996,228,228,2.2697,500001
4,1591,373,347,2.1563,500001
4,1586,398,335,2.1348,500001
4,2046,588,554,2.6292,500001
4,1192,289,257,2.3833,500001
4,1803,420,401,2.957,500001
4,2838,749,677,2.5238,500001
4,783,184,186,1.9375,500001
4,1590,414,392,1.9028,500001
4,1746,480,415,2.25,500001
4,1252,299,280,2.3929,500001
4,5963,1344,1231,2.1917,500001
4,1783,395,412,2.9357,500001
4,999,264,263,1.8854,500001
4,1469,431,389,2.1638,500001
4,1372,395,303,2.125,500001
4,674,180,168,3.375,500001
4,1626,376,357,2.2542,500001
4,175,43,55,2.1,500001
4,461,129,123,1.6,500001
4,902,237,227,3.625,500001
4,2373,779,676,1.6929,500001
4,391,128,138,1.6471,500001
4,1137,301,259,2.59,500001
4,769,206,183,2.57,500001
4,472,146,126,2.6429,500001
4,862,215,213,3.0257,500001
4,1920,530,477,1.4886,500001
4,1420,472,438,1.9338,500001
4,986,258,255,1.4844,500001
4,2340,825,751,1.6009,500001
4,1696,396,343,2.0375,500001
4,1175,217,219,2.293,500001
4,2343,574,523,2.1494,500001
4,610,145,140,1.6198,500001
4,930,199,184,1.3281,500001
4,1487,314,272,3.5156,500001
4,3424,690,685,3.9048,500001
4,762,190,195,3.0893,500001
4,2366,575,527,2.6042,500001
4,1826,450,424,2.5,500001
4,3049,711,659,2.7969,500001
4,1640,376,340,2.8321,500001
4,1543,307,292,2.9583,500001
4,2364,557,516,2.8365,500001
4,1745,409,386,2.875,500001
4,2003,500,464,3.0682,500001
4,2018,447,446,3.0757,500001
4,3045,499,455,4.9559,500001
4,1547,293,268,4.7721,500001
4,3519,711,706,3.4861,500001
4,2070,354,340,5.1184,500001
4,1321,263,252,4.0977,500001
4,1694,259,238,4.744,500001
4,1938,341,332,4.2727,500001
4,968,195,184,2.9844,500001
4,1060,256,235,4.1739,500001
4,2041,405,399,3.8487,500001
4,1813,271,277,4.0114,500001
4,2718,451,454,4.6563,500001
4,3144,761,669,2.9297,500001
4,1802,459,390,2.3036,500001
4,882,195,210,2.6667,500001
4,1621,452,491,2.619,500001
4,2115,533,474,2.4167,500001
4,2021,528,480,2.7788,500001
4,2239,508,569,2.7352,500001
4,1477,300,269,1.8472,500001
4,1056,224,245,2.6583,500001
4,898,244,245,3.0536,500001
4,2968,710,610,2.3906,500001
4,1702,460,407,1.7188,500001
4,881,248,241,2.625,500001
4,494,114,135,2.8015,500001
4,1776,473,440,1.7276,500001
4,1678,514,495,2.0801,500001
4,1637,463,393,2.489,500001
4,1420,314,300,1.7546,500001
4,591,173,137,4.0904,500001
4,745,153,149,2.6765,500001
4,2272,498,483,2.4338,500001
4,1234,375,354,2.3309,500001
4,1017,328,277,2.2604,500001
4,932,254,263,1.8039,500001
4,2689,597,537,2.2562,500001
4,1547,415,341,2.0562,500001
4,2300,443,423,3.5398,500001
4,1752,399,376,3.1167,500001
4,1867,403,378,2.5401,500001
4,2430,502,484,2.898,500001
4,1729,414,393,2.3125,500001
4,1026,180,168,2.875,500001
4,2170,428,425,3.3715,500001
4,2329,445,417,3.5114,500001
4,2492,415,375,4.3125,500001
4,2198,397,369,3.22,500001
4,142,31,47,3.875,500001
4,1183,205,209,5.2328,500001
4,1070,193,190,3.7262,500001
4,1766,332,327,4.5893,500001
4,617,95,106,5.2578,500001
4,1411,233,214,7.0875,500001
4,2109,387,329,3.9712,500001
4,1229,243,256,2.9514,500001
4,954,217,201,2.6667,500001
4,1643,262,266,5.4446,500001
4,1355,195,195,6.2838,500001
4,2317,336,328,6.7527,500001
4,2459,317,324,7.0712,500001
4,12842,2048,1967,5.9849,500001
4,1524,260,267,3.6875,500001
4,3326,746,703,2.875,500001
4,1985,440,407,3.4205,500001
4,1642,322,284,3.2984,500001
4,893,177,181,3.875,500001
4,653,128,121,4.175,500001
4,1256,,218,4.375,500001
4,977,194,180,4.7708,500001
4,2324,397,384,3.5739,500001
4,1583,349,316,3.0958,500001
4,1612,342,322,3.3958,500001
4,2424,533,452,1.871,500001
4,1594,367,355,1.9356,500001
4,2118,413,382,2.1842,500001
4,1575,358,320,2.2917,500001
4,1764,397,354,2.4333,500001
4,1187,261,246,1.9479,500001
4,754,175,165,3.9063,500001
4,2308,452,451,1.8407,500001
4,909,236,157,2.0786,500001
4,1180,257,268,2.8125,500001
4,2018,408,367,1.8913,500001
4,1368,282,269,1.7056,500001
4,2744,547,554,2.2768,500001
4,2107,471,438,3.2552,500001
4,1748,362,366,2.0556,500001
4,2024,391,350,2.4659,500001
4,1116,259,279,1.75,500001
4,2036,510,454,2.0469,500001
4,1852,393,349,2.7159,500001
4,921,207,159,1.2083,500001
5,995,238,237,1.925,500001
5,606,132,133,1.5809,500001
5,2680,736,667,1.4097,500001
5,1493,370,351,0.7683,500001
5,2207,565,520,1.3194,500001
5,856,189,162,0.8012,500001
5,1293,297,303,1.9479,500001
5,847,212,159,1.1765,500001
5,541,154,123,2.3456,500001
5,1066,253,244,2.1538,500001
5,707,147,155,2.5139,500001
5,1528,291,287,1.2625,500001
5,909,215,198,2.9063,500001
5,1391,293,285,2.5192,500001
5,548,119,136,2.1111,500001
5,4074,874,780,2.455,500001
5,1613,445,414,2.4028,500001
5,463,134,137,2.15,500001
5,818,193,179,2.4776,500001
5,1473,371,341,2.1587,500001
5,504,126,109,1.8438,500001
5,1026,226,225,3.0298,500001
5,769,183,178,2.25,500001
5,2103,391,354,2.2467,500001
5,330,76,80,4.0469,500001
5,941,218,195,1.325,500001
5,992,,259,1.6196,500001
5,990,261,260,2.1731,500001
5,1126,263,150,1.9167,500001
5,1036,233,213,2.069,500001
5,1047,214,166,1.712,500001
5,1280,307,286,2.5625,500001
5,1587,320,306,1.9821,500001
5,1257,271,230,2.5043,500001
5,1218,248,254,2.3281,500001
5,1751,390,349,1.4375,500001
5,2299,514,484,2.5122,500001
5,2457,624,482,1.5625,500001
5,998,211,185,3.1587,500001
5,1685,343,342,1.8426,500001
5,1827,307,302,4.6696,500001
5,2781,574,519,2.4598,500001
5,1823,286,270,6.0749,500001
5,2229,365,355,4.8304,500001
5,1513,231,211,5.5701,500001
5,3266,491,533,5.37,500001
5,1809,261,219,6.86,500001
5,794,111,109,7.6923,500001
5,690,105,109,4.0313,500001
5,1334,200,202,6.8323,500001
5,414,54,50,4.975,500001
5,768,93,93,5.3602,500001
5,4400,666,648,5,500001
5,954,161,154,2.925,500001
5,1445,256,255,3.8913,500001
5,1938,399,331,3.225,500001
5,856,178,191,3.1458,500001
5,1790,454,386,2.537,500001
5,617,131,135,2.5568,500001
5,1383,275,272,3.5083,500001
5,1325,277,282,3.3125,500001
5,1227,294,261,1.8235,500001
5,667,140,133,3.8047,500001
5,1223,281,280,2.2917,500001
5,1379,287,259,2.4962,500001
5,1534,300,295,4.0417,500001
5,1029,181,211,3.4844,500001
5,771,147,144,4.1458,500001
5,824,223,166,2.625,500001
5,1097,239,215,2.0227,500001
5,1283,238,236,3.3333,500001
5,1604,263,286,5.338,500001
5,2248,422,377,3.4732,500001
5,2263,522,509,3.5125,500001
5,1571,349,326,3.1375,500001
5,1520,402,375,2.8036,500001
5,5083,1212,1146,4.5824,500001
5,1077,293,276,3.0208,500001
5,1248,283,275,4.0875,500001
5,1342,291,266,4.5268,500001
5,3061,930,924,1.7375,500001
5,3171,698,696,3.1795,500001
5,1211,261,227,3.8672,500001
5,979,175,153,5.1675,500001
5,2269,380,371,5.1696,500001
5,1844,332,334,4.2614,500001
5,2178,421,423,5.0551,500001
5,1650,274,256,5.6228,500001
5,1927,279,288,7.8864,500001
5,2079,273,275,7.9556,500001
5,1803,240,236,6.174,500001
5,2041,270,253,6.9414,500001
5,3046,373,365,8.8342,500001
5,2318,328,312,7.1754,500001
5,2003,250,244,10.0825,500001
5,2261,328,335,4.9083,500001
5,1225,169,168,5.7912,500001
5,2315,408,369,4.5893,500001
5,2070,329,306,5.4171,500001
5,2616,473,487,4.125,500001
5,2640,366,355,7.266,500001
5,1978,293,272,5.3989,500001
5,2220,335,362,7.8336,500001
5,1125,195,181,6.1593,500001
5,3078,494,462,6.381,500001
5,3706,531,504,6.6828,500001
5,3000,457,450,7.5385,500001
5,2863,460,448,6.7138,500001
5,2551,417,404,6.2425,500001
5,2255,410,377,5.7979,500001
5,3360,648,621,4.2813,500001
5,1693,391,367,3.5417,500001
5,2252,592,550,3.0132,500001
5,2495,491,464,4.1429,500001
5,1193,200,207,4.1912,500001
5,1172,215,218,3.9167,500001
5,2159,424,388,3.8897,500001
5,2365,490,475,3.1065,500001
5,1895,442,425,2.9926,500001
5,1650,395,380,3.556,500001
5,453,146,137,1.475,500001
5,409,97,98,1.6971,500001
5,503,118,100,2.1705,500001
5,499,127,128,2.75,500001
5,477,119,106,2.5682,500001
5,1647,376,355,2.9,500001
5,3123,749,684,2.2208,500001
5,957,188,172,3.2344,500001
5,589,132,131,3.5156,500001
5,2026,548,521,1.9805,500001
5,1829,536,516,2.6684,500001
5,895,198,204,3.875,500001
5,1909,416,406,3.006,500001
5,3022,696,675,2.543,500001
5,1777,446,431,2.8676,500001
5,2803,930,876,2.1907,500001
5,1465,439,425,1.7778,500001
5,2619,682,616,2.52,500001
5,1149,255,249,4.2788,500001
5,2363,604,573,2.944,500001
5,2604,837,769,1.725,500001
5,685,141,123,5.2289,500001
5,1756,465,422,2.5562,500001
5,1204,460,477,0.949,500001
5,609,236,250,1.1696,500001
5,1087,371,350,1.4012,500001
5,2773,998,949,1.1859,500001
5,3218,1108,1000,1.7464,500001
5,1350,368,350,2.8846,500001
5,3084,698,694,2.7372,500001
5,938,195,189,3.8594,500001
5,1813,353,339,3.5625,500001
5,1233,300,292,2.2788,500001
5,2539,755,713,2.537,500001
5,1267,324,321,2.525,500001
5,1665,404,372,1.9946,500001
5,1659,367,346,2.8214,500001
5,2225,460,430,2.6165,500001
5,2485,607,563,1.9483,500001
5,2031,450,445,1.9327,500001
5,2932,668,608,1.9798,500001
5,2246,472,449,2.4167,500001
5,2052,435,414,2.5417,500001
5,1999,417,358,3.3906,500001
5,3007,691,636,2.5652,500001
5,2214,550,568,2.2845,500001
5,1088,305,267,2.6071,500001
5,834,186,175,3.15,500001
5,1769,372,365,2.6914,500001
5,2307,583,548,1.8447,500001
5,5161,1744,1742,1.6307,500001
5,3497,832,794,2.9044,500001
5,3774,744,679,2.9405,500001
5,2888,604,538,3.3893,500001
5,2153,517,459,3.0417,500001
5,1389,191,202,7.0897,500001
5,1709,318,295,5.0463,500001
5,1587,444,449,1.7652,500001
5,1668,225,214,7.8521,500001
5,3726,474,496,9.3959,500001
5,4048,663,590,5.3794,500001
5,3618,768,755,3.2619,500001
5,4076,920,815,2.7054,500001
5,2077,400,326,2.2431,500001
5,1279,300,255,1.9028,500001
5,1974,426,363,1.5817,500001
5,335,83,77,2.2841,500001
5,1375,307,319,1.3785,500001
5,610,145,132,2.9018,500001
5,1025,198,204,1.73,500001
5,2063,484,466,2.2625,500001
5,1872,419,414,2.2106,500001
5,3108,813,765,2.6997,500001
5,7355,2408,2051,4.0018,500001
5,2990,379,361,7.8772,500001
5,2492,310,315,11.8603,500001
5,2991,335,335,13.499,500001
5,3242,366,352,12.2138,500001
5,3051,381,369,8.1872,500001
5,3494,396,383,12.3804,500001
5,1757,246,227,5.8948,500001
5,2449,312,316,8.1194,500001
5,1611,203,179,8.7477,500001
5,3665,517,520,6.155,500001
5,2474,403,398,5.883,500001
5,3037,516,518,5.2128,500001
5,2269,323,321,4.7188,500001
5,1316,177,162,5.2915,500001
5,1153,235,223,2.6411,500001
5,772,179,160,3.3214,500001
5,1711,386,373,3.6417,500001
5,2650,566,567,3.0161,500001
5,1038,220,215,3.1771,500001
5,1527,320,264,3.4531,500001
5,859,157,158,4.3098,500001
5,970,217,208,3.3438,500001
5,1045,239,216,2.9213,500001
5,1408,280,265,2.6806,500001
5,1222,264,265,3.7708,500001
5,1169,263,286,3.9444,500001
5,2020,535,486,5.2601,500001
5,4145,869,855,2.5444,500001
5,2038,368,355,2.6447,500001
5,5154,,1273,2.5762,500001
5,1241,309,300,1.9427,500001
5,1468,363,347,2.9688,500001
5,3997,1073,966,3.75,500001
5,2873,763,663,5.1702,500001
5,1487,306,327,2.5139,500001
5,1670,350,299,2.9732,500001
5,2252,388,434,5.5337,500001
5,1731,377,363,4.1667,500001
5,1710,481,457,2.7115,500001
5,2388,559,518,3.3269,500001
5,2156,458,445,3.2685,500001
5,1565,315,297,4.7778,500001
5,1704,371,340,4.226,500001
5,1210,168,172,3.3571,500001
5,2097,444,413,2.9899,500001
5,1848,479,477,2.875,500001
5,955,284,266,2.3882,500001
5,4329,1110,1053,2.975,500001
5,3011,542,535,5.1039,500001
5,1049,185,176,4.1458,500001
6,2504,516,472,3.4762,500001
6,1846,471,446,2.6833,500001
6,1705,246,253,5.75,500001
6,1542,289,268,3.9632,500001
6,891,,146,4.9489,500001
6,4051,753,797,4.8711,500001
6,2646,581,522,3.0718,500001
6,2428,525,492,3.6719,500001
6,2567,436,415,4.6094,500001
6,7031,1249,1235,4.5213,500001
6,1914,365,390,4.4562,500001
6,18634,2885,2718,7.611,500001
6,5785,1379,1312,3.2689,500001
6,2876,648,632,3.567,500001
6,6909,1554,1484,3.6875,500001
6,5679,1270,1151,4.7695,500001
6,1156,365,326,3.1972,500001
6,14316,2045,2007,7.2634,500001
6,3596,467,512,7.0568,500001
6,3541,570,529,4.635,500001
6,1808,302,270,5.3015,500001
6,2879,480,455,4.9801,500001
6,3204,477,484,5.4834,500001
6,3866,531,521,6.187,500001
6,2476,368,367,5.6194,500001
6,2211,350,365,5.4639,500001
6,2663,387,367,5.1498,500001
6,2599,366,350,5.8382,500001
6,4569,824,819,4.65,500001
6,2973,622,595,4.3819,500001
6,3115,625,568,3.7222,500001
6,1843,282,269,5.2855,500001
6,2053,336,329,4.3375,500001
6,6740,1073,1035,5.2131,500001
6,1751,269,263,6.005,500001
6,1663,295,301,5.0519,500001
6,3716,657,652,4.8237,500001
6,2718,447,410,5.2497,500001
6,1420,272,277,4.125,500001
6,1893,310,315,4.6005,500001
6,3906,790,770,3.5187,500001
6,3400,736,694,3,500001
6,3402,758,710,3.4934,500001
6,4413,1107,1051,2.9861,500001
6,2304,618,552,2.5362,500001
6,2350,499,467,3.3021,500001
6,5914,1309,1295,3.0964,500001
6,1575,324,284,2.8512,500001
6,1414,274,244,3.3478,500001
6,848,202,205,2.3958,500001
6,3051,685,668,3.5295,500001
6,4296,817,800,4.8036,500001
6,2898,557,550,3.851,500001
6,1071,201,192,4.0662,500001
6,2619,403,393,4.6042,500001
6,1494,316,288,2.2,500001
6,2260,416,412,4.1164,500001
6,1394,223,230,3.95,500001
6,1028,129,143,4.9135,500001
6,3758,819,736,2.8355,500001
6,2163,470,435,3.25,500001
6,1699,408,385,2.8301,500001
6,1555,289,292,3.7159,500001
6,1114,206,207,2.5625,500001
6,1498,313,305,3.8047,500001
6,726,147,135,3.375,500001
6,890,200,198,3.244,500001
6,2639,533,519,4.0268,500001
6,2562,554,525,3.3906,500001
6,361,69,58,5.5461,500001
6,3008,659,664,3.371,500001
6,1369,284,289,3.5313,500001
6,1692,398,328,3.663,500001
6,1007,245,239,2.875,500001
6,3783,814,789,4.0202,500001
6,1507,242,253,4.5553,500001
6,666,132,134,3.4643,500001
6,2229,601,485,3.3431,500001
6,2215,587,573,2.1898,500001
6,1616,372,379,2.9097,500001
6,1190,251,266,3.375,500001
6,4169,1047,962,2.8125,500001
6,2024,320,334,5,500001
6,1723,394,353,3.0673,500001
6,2264,390,368,3.8125,500001
6,1996,268,270,6.9096,500001
6,2862,394,397,7.912,500001
6,2183,383,392,3.8393,500001
6,1037,207,210,4,500001
6,1134,153,171,6.5095,500001
6,786,132,132,3.5156,500001
6,1397,253,248,2.983,500001
6,2315,451,444,3.524,500001
6,1613,339,346,3.1103,500001
6,1421,298,270,3.5781,500001
6,5778,1526,1352,3.1682,500001
6,3094,866,789,2.6101,500001
6,3905,1007,1044,3.6932,500001
6,3046,557,544,3.4583,500001
6,3516,710,703,3.9032,500001
6,998,178,183,4.0208,500001
6,1464,244,261,3.5547,500001
6,1463,292,330,4.5859,500001
6,4124,1054,998,2.6321,500001
6,2380,769,643,3.395,500001
6,1266,228,239,3.9702,500001
6,2239,391,379,5.0043,500001
6,1571,317,301,4.4659,500001
6,1246,221,222,3.6625,500001
6,1501,287,276,3.8864,500001
6,1468,252,229,3.4583,500001
6,1118,219,228,3.7813,500001
6,1097,208,225,2.9917,500001
6,1719,303,311,4.4375,500001
6,1755,365,362,4,500001
6,1687,348,352,2.3869,500001
6,2262,391,366,4.7609,500001
6,2087,407,401,5.4858,500001
6,1480,278,283,4.3971,500001
6,1545,273,267,4.0109,500001
6,2632,447,486,4.3864,500001
6,2261,443,383,4.2841,500001
6,1670,308,335,5.1312,500001
6,2141,535,555,2.9958,500001
6,3337,613,607,3.6364,500001
6,3184,716,628,2.7955,500001
6,2341,500,485,2.9507,500001
6,1197,269,279,3.4375,500001
6,1131,278,237,2.875,500001
6,1164,284,289,3.0345,500001
6,3495,787,750,2.679,500001
6,2488,617,538,2.9922,500001
6,2681,508,536,4.1042,500001
6,2495,635,579,2.5833,500001
6,1689,461,443,2.1552,500001
6,1298,306,338,2.3274,500001
6,2693,789,724,2.4206,500001
6,746,,161,3.9063,500001
6,2444,651,618,2.6464,500001
6,1472,310,309,3.4643,500001
6,2227,560,472,2.3973,500001
6,200,25,31,6.5,500001
6,1283,194,171,6.0574,500001
6,2445,590,573,3.8958,500001
6,1307,236,249,4.7813,500001
6,3785,936,792,3.2829,500001
6,2031,357,352,5.3169,500001
6,8299,1326,1288,6.2579,500001
6,7518,1279,1294,5.1701,500001
6,1815,426,431,3.25,500001
6,5367,1207,1047,3.1796,500001
6,1167,370,137,2.4196,500001
6,2607,682,607,2.6563,500001
6,493,168,152,0.9637,500001
6,1252,305,308,2.3357,500001
6,1382,353,314,3.5114,500001
6,500,110,120,3.3125,500001
6,2333,538,540,2.4042,500001
6,1834,463,467,2.8322,500001
6,1415,348,293,2.5156,500001
7,1352,342,324,3.4032,500001
7,2116,503,448,2.535,500001
7,1976,481,465,2.5772,500001
7,1779,413,400,3.0962,500001
7,3659,897,903,2.9564,500001
7,1892,428,389,3.125,500001
7,1958,484,448,2.95,500001
7,1553,253,267,4.38,500001
7,2412,394,375,4.0417,500001
7,2110,389,370,3.8,500001
7,2179,401,399,3.4839,500001
7,2457,445,422,4.0588,500001
7,2147,399,401,4.1974,500001
7,1676,340,328,3.6,500001
7,2976,518,538,4.267,500001
7,3036,533,500,4.2386,500001
7,2472,398,390,5.5797,500001
7,1487,249,243,4.0682,500001
7,2012,347,332,3.1734,500001
7,3342,,557,4.7933,500001
7,3156,534,543,4.8125,500001
7,1748,318,317,3.8676,500001
7,3429,681,694,3.9395,500001
7,3592,703,665,3.2434,500001
7,1035,247,224,3.0917,500001
7,3028,811,703,3.0645,500001
7,2431,655,603,2.7019,500001
7,2069,500,478,3.1115,500001
7,1340,313,271,3.4722,500001
7,1160,259,274,2.2222,500001
7,2015,318,340,6.1104,500001
7,3882,816,743,4.2733,500001
7,3239,671,616,3.2465,500001
7,2932,739,624,3.2417,500001
7,2104,409,394,3.875,500001
7,1694,251,242,6.0501,500001
7,3000,419,415,6.8233,500001
7,2419,348,384,6.3501,500001
7,2280,610,587,2.6719,500001
7,5031,1168,1042,3.875,500001
7,1547,372,356,2.5625,500001
7,3300,790,740,3.016,500001
7,5018,1439,1299,2.7694,500001
7,1813,393,374,3.6818,500001
7,1997,436,437,2.1382,500001
7,901,191,206,3.7303,500001
7,686,142,149,3.875,500001
7,1954,464,448,3.0489,500001
7,2630,722,634,2.8203,500001
7,1130,192,184,4.3897,500001
7,1184,200,194,4.7143,500001
7,656,115,112,4.6875,500001
7,2544,643,603,3.2091,500001
7,1305,225,234,4.275,500001
7,1755,316,299,4.1302,500001
7,2843,652,643,3.09,500001
7,2538,494,501,4.5417,500001
7,1784,311,278,4.6635,500001
7,1797,327,319,4.4427,500001
7,410,76,82,4.5303,500001
7,162,27,25,2.375,500001
7,9963,2031,1946,3.8171,500001
7,2361,458,467,4.5281,500001
7,862,167,183,4.3456,500001
7,4335,808,734,3.4861,500001
7,1487,280,301,5.2312,500001
7,3592,849,746,3.6708,500001
7,432,102,77,3.8875,500001
7,1457,242,249,3.9167,500001
7,1578,284,292,3.9063,500001
7,2172,435,408,3.7895,500001
7,1340,245,248,3.8,500001
7,1116,199,226,5.7309,500001
7,1885,307,271,4.1141,500001
7,1180,212,200,5.2838,500001
7,5267,1253,1113,3.3479,500001
7,1897,440,418,3.142,500001
7,767,171,185,3.7614,500001
7,691,127,149,4.25,500001
7,786,133,160,3.9338,500001
7,5861,1516,1463,2.5158,500001
7,2784,723,693,2.4808,500001
7,4524,860,862,4.7083,500001
7,1468,304,282,4.1652,500001
7,1655,450,430,3.5541,500001
7,1227,286,291,3.8036,500001
7,1160,252,220,3.8259,500001
7,952,172,159,3.2331,500001
7,2072,352,350,4.7109,500001
7,2964,547,527,4.2468,500001
7,1032,173,176,6.396,500001
7,657,118,134,3.8125,500001
7,1540,324,302,3.2857,500001
7,1298,236,204,3.8929,500001
7,1409,271,281,3.7262,500001
7,1383,259,241,4.0125,500001
7,1151,216,215,4.1719,500001
7,899,179,185,4.2857,500001
7,1793,364,346,3.6458,500001
7,2485,518,550,2.6875,500001
7,1931,376,337,3.7292,500001
7,2329,465,453,4.5913,500001
7,6711,1374,1289,3.8625,500001
7,1939,356,364,3.3611,500001
7,1642,346,351,2.8971,500001
7,1619,293,310,4.0326,500001
7,517,108,107,4.0682,500001
7,1570,274,249,5.3644,500001
7,1213,221,243,4.7019,500001
7,1826,309,313,5.64,500001
7,2261,443,395,3.7931,500001
7,3666,711,703,4.6458,500001
7,1633,345,338,3.694,500001
7,2155,522,437,2.652,500001
7,1295,280,300,3.5,500001
